work,mode,fraction,seed,attack_f1,tpr,fpr
Wang / MANDA-IDS,ids,0.1,1,0.8704626334519573,0.8197050938337802,0.0489136031304706
Wang / MANDA-IDS,ids,0.1,2,0.8925571543349645,0.8190348525469169,0.012460096797446195
Wang / MANDA-IDS,ids,0.05,0,0.8383277298640549,0.7687667560321716,0.05014931520955617
Wang / MANDA-IDS,ids,0.05,1,0.8523953388001726,0.7942359249329759,0.053238595407270106
Wang / MANDA-IDS,ids,0.05,2,0.878912335363263,0.8319034852546917,0.046957059005251774
Wang / MANDA-IDS,ids,0.01,0,0.8455604075691412,0.778686327077748,0.048501699104108745
Wang / MANDA-IDS,ids,0.01,1,0.8601005175905783,0.7684986595174262,0.01421068890948409
Wang / MANDA-IDS,ids,0.01,2,0.8409419242993356,0.7802949061662199,0.05797549171043147
Wang / MANDA-FGSM,manda,1.0,0,0.9153084052412911,0.8844966028412601,nan
Wang / MANDA-FGSM,manda,1.0,1,0.9156197654941374,0.8852226720647773,nan
Wang / MANDA-FGSM,manda,1.0,2,0.9160571989957428,0.8839266905413946,nan
Wang / MANDA-FGSM,manda,0.5,0,0.8682648943745549,0.8043095866314863,nan
Wang / MANDA-FGSM,manda,0.5,1,0.8251805423082165,0.7367396593673966,nan
Wang / MANDA-FGSM,manda,0.5,2,0.875912408759124,0.8185361628410567,nan
Wang / MANDA-FGSM,manda,0.25,0,0.8760119301235619,0.8191235059760956,nan
Wang / MANDA-FGSM,manda,0.25,1,0.8830149175608479,0.8285854616895875,nan
Wang / MANDA-FGSM,manda,0.25,2,0.9074867658179985,0.8710379869344302,nan
Wang / MANDA-FGSM,manda,0.1,0,0.8282828282828284,0.7424547283702213,nan
Wang / MANDA-FGSM,manda,0.1,1,0.9320794148380355,0.9139344262295082,nan
Wang / MANDA-FGSM,manda,0.1,2,0.867182846932698,0.802646085997795,nan
Wang / MANDA-FGSM,manda,0.05,0,0.9418282548476454,0.9340659340659341,nan
Wang / MANDA-FGSM,manda,0.05,1,0.7852604828462516,0.6776315789473685,nan
Wang / MANDA-FGSM,manda,0.05,2,0.9410377358490566,0.9322429906542056,nan
Wang / MANDA-FGSM,manda,0.01,0,0.8728813559322034,0.8110236220472441,nan
Wang / MANDA-FGSM,manda,0.01,1,0.8802228412256267,0.825065274151436,nan
Wang / MANDA-FGSM,manda,0.01,2,0.7913043478260869,0.6842105263157895,nan
Wang / MANDA-BIM,manda,1.0,0,0.9558405953196905,0.961015948021264,nan
Wang / MANDA-BIM,manda,1.0,1,0.9508722678965309,0.9470740962652286,nan
Wang / MANDA-BIM,manda,1.0,2,0.8557347670250895,0.7845553501745738,nan
Wang / MANDA-BIM,manda,0.5,0,0.9265384182697716,0.9048560755877829,nan
Wang / MANDA-BIM,manda,0.5,1,0.8446435630517855,0.7656473960821787,nan
Wang / MANDA-BIM,manda,0.5,2,0.9478232688776062,0.9444564047362756,nan
Wang / MANDA-BIM,manda,0.25,0,0.8756498524659266,0.8176331671477303,nan
Wang / MANDA-BIM,manda,0.25,1,0.9114729076570848,0.8751831949193942,nan
Wang / MANDA-BIM,manda,0.25,2,0.9657298707458793,0.9807321772639692,nan
Wang / MANDA-BIM,manda,0.1,0,0.8309392265193369,0.7430830039525692,nan
Wang / MANDA-BIM,manda,0.1,1,0.9527806925498425,0.9478079331941545,nan
Wang / MANDA-BIM,manda,0.1,2,0.8952941176470588,0.8502793296089386,nan
Wang / MANDA-BIM,manda,0.05,0,0.7364975450081833,0.6114130434782609,nan
Wang / MANDA-BIM,manda,0.05,1,0.6786206896551724,0.5347826086956522,nan
Wang / MANDA-BIM,manda,0.05,2,0.967741935483871,0.9797297297297297,nan
Wang / MANDA-BIM,manda,0.01,0,0.8688172043010752,0.8047808764940239,nan
